city,state_name,population
New York,New York,18832416
Los Angeles,California,11885717
Chicago,Illinois,8489066
Miami,Florida,6113982
Houston,Texas,6046392
Dallas,Texas,5843632
Philadelphia,Pennsylvania,5696588
Atlanta,Georgia,5211164
Washington,District of Columbia,5146120
Boston,Massachusetts,4355184
Phoenix,Arizona,4065338
Detroit,Michigan,3716929
Seattle,Washington,3555253
San Francisco,California,3364862
San Diego,California,3057778
Minneapolis,Minnesota,2906807
Tampa,Florida,2906035
Brooklyn,New York,2736074
Denver,Colorado,2691349
Queens,New York,2405464
Riverside,California,2288508
Las Vegas,Nevada,2256509
Baltimore,Maryland,2189589
St. Louis,Missouri,2127843
Portland,Oregon,2084045
San Antonio,Texas,2069843
Sacramento,California,1962998
Austin,Texas,1915031
Orlando,Florida,1913597
San Jose,California,1771563
Indianapolis,Indiana,1740984
Pittsburgh,Pennsylvania,1712828
Cincinnati,Ohio,1704916
Manhattan,New York,1694263
Kansas City,Missouri,1686807
Cleveland,Ohio,1679247
Columbus,Ohio,1578153
Bronx,New York,1472654
Charlotte,North Carolina,1436613
Virginia Beach,Virginia,1431821
Jacksonville,Florida,1303156
Milwaukee,Wisconsin,1290221
Providence,Rhode Island,1270529
Nashville,Tennessee,1178679
Salt Lake City,Utah,1169033
Raleigh,North Carolina,1150010
Richmond,Virginia,1081248
Memphis,Tennessee,1033394
Oklahoma City,Oklahoma,1000207
Hartford,Connecticut,969171
Louisville,Kentucky,965005
Buffalo,New York,949547
Fort Worth,Texas,941311
Bridgeport,Connecticut,921660
New Orleans,Louisiana,918752
Tucson,Arizona,879871
El Paso,Texas,862494
Omaha,Nebraska,826161
McAllen,Texas,810034
Birmingham,Alabama,778756
Albuquerque,New Mexico,767499
Tulsa,Oklahoma,740620
Charleston,South Carolina,726389
Fresno,California,724547
Rochester,New York,694707
Dayton,Ohio,667936
Cape Coral,Florida,656464
Provo,Utah,639820
Colorado Springs,Colorado,638421
Mission Viejo,California,634674
Allentown,Pennsylvania,632175
Baton Rouge,Louisiana,630063
Ogden,Utah,623688
Knoxville,Tennessee,618226
Grand Rapids,Michigan,611480
Columbia,South Carolina,605083
