name,city,state,population
Western Governors University,Salt Lake City,Utah,154991
Southern New Hampshire University,Manchester,New Hampshire,144645
The Pennsylvania State University,University Park,Pennsylvania,112931
Grand Canyon University,Phoenix,Arizona,110404
Liberty University,Lynchburg,Virginia,100674
University Of Phoenix-Arizona,Phoenix,Arizona,97248
Ohio State University-Main Campus,Columbus,Ohio,96399
Arizona State University Campus Immersion,Tempe,Arizona,87678
Texas A & M University-College Station,College Station,Texas,81678
Dallas College,Dallas,Texas,80335
University Of Central Florida,Orlando,Florida,77982
Lone Star College System,The Woodlands,Texas,77117
New York University,New York,New York,76559
University Of Michigan-Ann Arbor,Ann Arbor,Michigan,72512
Ivy Tech Community College,Indianapolis,Indiana,70690
University Of Minnesota-Twin Cities,Minneapolis,Minnesota,70641
University Of California-Los Angeles,Los Angeles,California,69845
Rutgers University-New Brunswick,New Brunswick,New Jersey,69755
University Of Florida,Gainesville,Florida,69252
University Of Washington-Seattle Campus,Seattle,Washington,68838
The University Of Texas At Austin,Austin,Texas,67083
Florida International University,Miami,Florida,65410
University Of Illinois Urbana-Champaign,Champaign,Illinois,65110
University Of Maryland Global Campus,Adelphi,Maryland,64103
University Of Wisconsin-Madison,Madison,Wisconsin,63654
University Of Southern California,Los Angeles,California,62935
Michigan State University,East Lansing,Michigan,62325
University Of South Florida,Tampa,Florida,59916
University Of Arizona,Tucson,Arizona,58335
Purdue University-Main Campus,West Lafayette,Indiana,58024
Arizona State University Digital Immersion,Scottsdale,Arizona,55938
Northern Virginia Community College,Annandale,Virginia,55897
University Of California-San Diego,La Jolla,California,55842
University Of California-Berkeley,Berkeley,California,54449
Miami Dade College,Miami,Florida,54356
Walden University,Minneapolis,Minnesota,54019
Houston Community College,Houston,Texas,53508
University Of California-Davis,Davis,California,52829
University Of Houston,Houston,Texas,52610
American Public University System,Charles Town,West Virginia,52455
Indiana University-Bloomington,Bloomington,Indiana,52280
The University Of Texas At Arlington,Arlington,Texas,52044
Columbia University In The City Of New York,New York,New York,50996
University Of Georgia,Athens,Georgia,50880
Florida State University,Tallahassee,Florida,50842
University Of Maryland-College Park,College Park,Maryland,50709
Valencia College,Orlando,Florida,50078
Harvard University,Cambridge,Massachusetts,49569
University Of Cincinnati-Main Campus,Cincinnati,Ohio,48594
Georgia Institute Of Technology-Main Campus,Atlanta,Georgia,48378
Johns Hopkins University,Baltimore,Maryland,48359
Brigham Young University-Idaho,Rexburg,Idaho,48110
University Of Utah,Salt Lake City,Utah,47336
University Of Illinois Chicago,Chicago,Illinois,47263
University Of Colorado Boulder,Boulder,Colorado,46885
Tarrant County College District,Fort Worth,Texas,46780
Temple University,Philadelphia,Pennsylvania,46015
University Of Pennsylvania,Philadelphia,Pennsylvania,46008
Purdue University Global,West Lafayette,Indiana,45975
North Carolina State University At Raleigh,Raleigh,North Carolina,45678
California State University-Fullerton,Fullerton,California,45670
University Of California-Irvine,Irvine,California,45633
Virginia Polytechnic Institute And State University,Blacksburg,Virginia,45631
Texas Tech University,Lubbock,Texas,45569
University Of Pittsburgh-Pittsburgh Campus,Pittsburgh,Pennsylvania,45541
Kennesaw State University,Kennesaw,Georgia,45452
University Of North Texas,Denton,Texas,45026
Utah Valley University,Orem,Utah,44797
The University Of Alabama,Tuscaloosa,Alabama,44760
University Of North Carolina At Chapel Hill,Chapel Hill,North Carolina,44496
George Mason University,Fairfax,Virginia,44275
California State University-Long Beach,Long Beach,California,44120
California State University-Northridge,Northridge,California,44089
University Of The People,Pasadena,California,43748
Austin Community College District,Austin,Texas,43414
University Of South Carolina-Columbia,Columbia,South Carolina,43203
Boston University,Boston,Massachusetts,43124
University Of Kentucky,Lexington,Kentucky,42216
Georgia State University,Atlanta,Georgia,41786
Texas State University,San Marcos,Texas,41737
Brigham Young University,Provo,Utah,41705
Eastern Gateway Community College,Steubenville,Ohio,41628
