name;city;state;population
Western Governors University;Salt Lake City;Ut;154991
Southern New Hampshire University;Manchester;Nh;144645
The Pennsylvania State University;University Park;Pa;112931
Grand Canyon University;Phoenix;Az;110404
Liberty University;Lynchburg;Va;100674
University Of Phoenix-Arizona;Phoenix;Az;97248
Ohio State University-Main Campus;Columbus;Oh;96399
Arizona State University Campus Immersion;Tempe;Az;87678
Texas A & M University-College Station;College Station;Tx;81678
Dallas College;Dallas;Tx;80335
University Of Central Florida;Orlando;Fl;77982
Lone Star College System;The Woodlands;Tx;77117
New York University;New York;Ny;76559
University Of Michigan-Ann Arbor;Ann Arbor;Mi;72512
Ivy Tech Community College;Indianapolis;In;70690
University Of Minnesota-Twin Cities;Minneapolis;Mn;70641
University Of California-Los Angeles;Los Angeles;Ca;69845
Rutgers University-New Brunswick;New Brunswick;Nj;69755
University Of Florida;Gainesville;Fl;69252
University Of Washington-Seattle Campus;Seattle;Wa;68838
The University Of Texas At Austin;Austin;Tx;67083
Florida International University;Miami;Fl;65410
University Of Illinois Urbana-Champaign;Champaign;Il;65110
University Of Maryland Global Campus;Adelphi;Md;64103
University Of Wisconsin-Madison;Madison;Wi;63654
University Of Southern California;Los Angeles;Ca;62935
Michigan State University;East Lansing;Mi;62325
University Of South Florida;Tampa;Fl;59916
University Of Arizona;Tucson;Az;58335
Purdue University-Main Campus;West Lafayette;In;58024
Arizona State University Digital Immersion;Scottsdale;Az;55938
Northern Virginia Community College;Annandale;Va;55897
University Of California-San Diego;La Jolla;Ca;55842
University Of California-Berkeley;Berkeley;Ca;54449
Miami Dade College;Miami;Fl;54356
Walden University;Minneapolis;Mn;54019
Houston Community College;Houston;Tx;53508
University Of California-Davis;Davis;Ca;52829
University Of Houston;Houston;Tx;52610
American Public University System;Charles Town;Wv;52455
Indiana University-Bloomington;Bloomington;In;52280
The University Of Texas At Arlington;Arlington;Tx;52044
Columbia University In The City Of New York;New York;Ny;50996
University Of Georgia;Athens;Ga;50880
Florida State University;Tallahassee;Fl;50842
University Of Maryland-College Park;College Park;Md;50709
Valencia College;Orlando;Fl;50078
Harvard University;Cambridge;Ma;49569
University Of Cincinnati-Main Campus;Cincinnati;Oh;48594
Georgia Institute Of Technology-Main Campus;Atlanta;Ga;48378
Johns Hopkins University;Baltimore;Md;48359
Brigham Young University-Idaho;Rexburg;Id;48110
University Of Utah;Salt Lake City;Ut;47336
University Of Illinois Chicago;Chicago;Il;47263
University Of Colorado Boulder;Boulder;Co;46885
Tarrant County College District;Fort Worth;Tx;46780
Temple University;Philadelphia;Pa;46015
University Of Pennsylvania;Philadelphia;Pa;46008
Purdue University Global;West Lafayette;In;45975
North Carolina State University At Raleigh;Raleigh;Nc;45678
California State University-Fullerton;Fullerton;Ca;45670
University Of California-Irvine;Irvine;Ca;45633
Virginia Polytechnic Institute And State University;Blacksburg;Va;45631
Texas Tech University;Lubbock;Tx;45569
University Of Pittsburgh-Pittsburgh Campus;Pittsburgh;Pa;45541
Kennesaw State University;Kennesaw;Ga;45452
University Of North Texas;Denton;Tx;45026
Utah Valley University;Orem;Ut;44797
The University Of Alabama;Tuscaloosa;Al;44760
University Of North Carolina At Chapel Hill;Chapel Hill;Nc;44496
George Mason University;Fairfax;Va;44275
California State University-Long Beach;Long Beach;Ca;44120
California State University-Northridge;Northridge;Ca;44089
University Of The People;Pasadena;Ca;43748
Austin Community College District;Austin;Tx;43414
University Of South Carolina-Columbia;Columbia;Sc;43203
Boston University;Boston;Ma;43124
University Of Kentucky;Lexington;Ky;42216
Georgia State University;Atlanta;Ga;41786
Texas State University;San Marcos;Tx;41737
Brigham Young University;Provo;Ut;41705
Eastern Gateway Community College;Steubenville;Oh;41628
University Of Iowa;Iowa City;Ia;41273
University Of Missouri-Columbia;Columbia;Mo;41145
Louisiana State University And Agricultural & Mechanical College;Baton Rouge;La;40896
Capella University;Minneapolis;Mn;40828
Colorado State University-Fort Collins;Fort Collins;Co;40148
San Diego State University;San Diego;Ca;40053
San Jose State University;San Jose;Ca;39794
The University Of Tennessee-Knoxville;Knoxville;Tn;39517
Indiana University-Purdue University-Indianapolis;Indianapolis;In;38885
Iowa State University;Ames;Ia;38575
Oregon State University;Corvallis;Or;38551
The University Of Texas At San Antonio;San Antonio;Tx;38396
Collin County Community College District;Mckinney;Tx;38157
Washington State University;Pullman;Wa;37811
University At Buffalo;Buffalo;Ny;37642
University Of Colorado Denver/Anschutz Medical Campus;Denver;Co;37536
University Of Connecticut;Storrs;Ct;37449
University Of Massachusetts-Amherst;Amherst;Ma;37327
Auburn University;Auburn;Al;37259
The University Of Texas Rio Grande Valley;Edinburg;Tx;36826
University Of Nevada-Las Vegas;Las Vegas;Nv;36573
Virginia Commonwealth University;Richmond;Va;36171
Broward College;Fort Lauderdale;Fl;35889
University Of Virginia-Main Campus;Charlottesville;Va;35689
University Of Kansas;Lawrence;Ks;35685
California State University-Sacramento;Sacramento;Ca;35463
Duke University;Durham;Nc;35280
East Los Angeles College;Monterey Park;Ca;34752
Cornell University;Ithaca;Ny;34682
East Carolina University;Greenville;Nc;34648
University Of North Carolina At Charlotte;Charlotte;Nc;34319
Florida Atlantic University;Boca Raton;Fl;34297
University Of Mississippi;University;Ms;34161
Ashford University;San Diego;Ca;33440
San Jacinto Community College;Pasadena;Tx;33424
University Of Oklahoma-Norman Campus;Norman;Ok;33395
George Washington University;Washington;Dc;33278
Northern Arizona University;Flagstaff;Az;33051
Northwestern University;Evanston;Il;33041
University Of Arkansas;Fayetteville;Ar;32804
The University Of Texas At Dallas;Richardson;Tx;32772
University Of Alabama At Birmingham;Birmingham;Al;32656
California State Polytechnic University-Pomona;Pomona;Ca;32636
Stanford University;Stanford;Ca;32626
West Virginia University;Morgantown;Wv;32612
Wayne State University;Detroit;Mi;32539
College Of Southern Nevada;Las Vegas;Nv;32365
Washington University In St Louis;Saint Louis;Mo;32351
Stony Brook University;Stony Brook;Ny;32161
Clemson University;Clemson;Sc;31991
Weber State University;Ogden;Ut;31688
University Of Nebraska-Lincoln;Lincoln;Ne;31540
Utah State University;Logan;Ut;31436
University Of California-Santa Barbara;Santa Barbara;Ca;31335
University Of California-Riverside;Riverside;Ca;30913
Salt Lake Community College;Salt Lake City;Ut;30721
Kent State University At Kent;Kent;Oh;30612
San Francisco State University;San Francisco;Ca;30596
South Texas College;Mcallen;Tx;30440
Colorado Technical University-Colorado Springs;Colorado Springs;Co;30267
University Of Chicago;Chicago;Il;30198
Mt San Antonio College;Walnut;Ca;30125
Georgia Southern University;Statesboro;Ga;30116
Oklahoma State University-Main Campus;Stillwater;Ok;30037
University Of Miami;Coral Gables;Fl;29973
Columbus State Community College;Columbus;Oh;29945
Chamberlain University-Illinois;Addison;Il;29481
Ohio University-Main Campus;Athens;Oh;29401
California State University-Los Angeles;Los Angeles;Ca;29389
University Of Louisville;Louisville;Ky;29210
University Of New Mexico-Main Campus;Albuquerque;Nm;29086
St Petersburg College;Clearwater;Fl;29046
Yale University;New Haven;Ct;28878
Palm Beach State College;Lake Worth;Fl;28781
University Of Delaware;Newark;De;28522
Drexel University;Philadelphia;Pa;28508
El Paso Community College;El Paso;Tx;28306
Mississippi State University;Mississippi State;Ms;28202
University Of Wisconsin-Milwaukee;Milwaukee;Wi;28132
California State University-Fresno;Fresno;Ca;27985
Northeastern University;Boston;Ma;27955
The University Of Texas At El Paso;El Paso;Tx;27843
Santa Monica College;Santa Monica;Ca;27716
Old Dominion University;Norfolk;Va;27526
Boise State University;Boise;Id;27272
Cuny Hunter College;New York;Ny;27203
Emory University;Atlanta;Ga;26950
Syracuse University;Syracuse;Ny;26900
Full Sail University;Winter Park;Fl;26899
Portland State University;Portland;Or;26783
University Of Oregon;Eugene;Or;26681
American River College;Sacramento;Ca;26654
Pasadena City College;Pasadena;Ca;26551
Missouri State University-Springfield;Springfield;Mo;26289
Grand Valley State University;Allendale;Mi;26284
Bakersfield College;Bakersfield;Ca;25966
Georgetown University;Washington;Dc;25662
Kansas State University;Manhattan;Ks;25635
Portland Community College;Portland;Or;25631
University Of Memphis;Memphis;Tn;25467
Nova Southeastern University;Fort Lauderdale;Fl;25444
James Madison University;Harrisonburg;Va;25330
Depaul University;Chicago;Il;25295
Massachusetts Institute Of Technology;Cambridge;Ma;25286
Cuny Borough Of Manhattan Community College;New York;Ny;25263
California Polytechnic State University-San Luis Obispo;San Luis Obispo;Ca;25254
Ball State University;Muncie;In;25208
Towson University;Towson;Md;25129
University Of Nevada-Reno;Reno;Nv;25000
Long Beach City College;Long Beach;Ca;24729
Suffolk County Community College;Selden;Ny;24716
Middle Tennessee State University;Murfreesboro;Tn;24652
Des Moines Area Community College;Ankeny;Ia;24575
Florida State College At Jacksonville;Jacksonville;Fl;24422
Sam Houston State University;Huntsville;Tx;24407
Illinois State University;Normal;Il;24258
Montclair State University;Montclair;Nj;24106
Keiser University-Ft Lauderdale;Fort Lauderdale;Fl;23904
Wake Technical Community College;Raleigh;Nc;23872
Fresno City College;Fresno;Ca;23680
Rowan University;Glassboro;Nj;23638
Central New Mexico Community College;Albuquerque;Nm;23292
Appalachian State University;Boone;Nc;23259
College Of Dupage;Glen Ellyn;Il;23225
University Of California-Santa Cruz;Santa Cruz;Ca;23091
Excelsior College;Albany;Ny;23067
University Of North Carolina At Greensboro;Greensboro;Nc;22811
Montgomery College;Rockville;Md;22779
